starting_price_cat,reviews_count,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp,fuel_tank_capacity,no_cylinder,rating,seating_capacity,fuel_type,engine_displacement,transmission_type,body_type
Up to 1M,51,89,3500,65.71,5500,27,3,4.5,5,Petrol,998,Automatic,Hatchback
Up to 1M,86,136.8,4400,101.65,6000,48,4,4.5,5,Petrol,1462,Automatic,SUV
1M to 5M,242,300,2800,130,3750,57,4,4.5,4,Diesel,2184,Automatic,SUV
1M to 5M,313,450,2800,182.38,3500,60,4,4.5,7,Diesel,2198,Automatic,SUV
1M to 5M,107,400,2750,172.45,3500,57,4,4.5,7,Diesel,2198,Automatic,SUV
1M to 5M,99,500,2800,201.15,3400,80,4,4.5,7,Diesel,2755,Automatic,SUV
1M to 5M,731,250,2750,113.45,4000,50,4,4.5,5,Diesel,1493,Automatic,SUV
Up to 1M,381,113,3400,84.48,6000,37,3,4.5,5,Petrol,1199,Automatic,SUV
Up to 1M,107,210,2200,74.96,3600,60,3,4.5,7,Diesel,1498,Manual,SUV
Up to 1M,205,113,4400,88.5,6000,37,4,4,5,Petrol,1197,Automatic,Hatchback
Up to 1M,568,260,2750,108.49,4000,44,4,4.5,5,Diesel,1497,Automatic,SUV
Up to 1M,36,172,4000,118.41,6000,45,3,4.5,5,Petrol,998,Automatic,SUV
1M to 5M,2171,250,2750,113.43,4000,50,4,4.5,5,Diesel,1493,Automatic,SUV
1M to 5M,8,416,2750,183.72,4000,54,4,4.5,5,Diesel,1997,Automatic,SUV
1M to 5M,2392,350,2500,167.67,3750,50,4,4.5,5,Diesel,1956,Automatic,SUV
Up to 1M,137,113,4400,88.5,6000,37,4,4.5,5,Petrol,1197,Automatic,Hatchback
1M to 5M,91,360,2600,148,3400,55,4,4.5,8,Diesel,2393,Automatic,MUV
Up to 1M,110,136.8,4400,101.65,6000,45,4,4.5,7,Petrol,1462,Automatic,MUV
Up to 1M,523,250,2750,113.43,4000,45,4,4,5,Diesel,1493,Automatic,SUV
Up to 1M,245,113,4400,88.5,6000,37,4,4.5,5,Petrol,1197,Automatic,Sedan
Up to 1M,1067,145,4600,117.6,6600,40,4,4.5,5,Petrol,1497,Manual,Sedan
5M to 10M,13,650,2500,296.36,4000,89,4,4.5,7,Petrol,4997,Automatic,SUV
Over 10M,17,700,3000,345.98,4000,90,8,4.5,7,Petrol,4367,Automatic,SUV
Up to 1M,435,95,3500,72,6000,60,3,4.5,5,CNG,1199,Manual,Hatchback
Up to 1M,432,171.62,4000,118.36,6000,37,3,3.5,5,Petrol,998,Automatic,Hatchback
Up to 1M,2245,300,2500,115,3750,42,4,4.5,5,Diesel,1497,Automatic,SUV
1M to 5M,200,350,2500,167.68,3750,60,4,4,5,Diesel,1956,Manual,SUV
Up to 1M,1025,200,3000,88.77,4000,37,4,4.5,5,Diesel,1497,Manual,Hatchback
1M to 5M,14,300,2800,130.07,3750,60,4,4.5,7,Diesel,2184,Manual,SUV
Up to 1M,234,250,2750,113.45,4000,45,4,4.5,5,Diesel,1493,Automatic,Sedan
Up to 1M,57,190,1750,108.62,5500,30,3,4.5,5,Petrol,1199,Manual,Hatchback
1M to 5M,162,200,1750,97.89,3600,40,4,4.5,5,Diesel,1498,Manual,Sedan
Up to 1M,89,89,3500,65.71,5500,32,3,3.5,5,Petrol,998,Automatic,Hatchback
Up to 1M,278,152,4400,98.63,5000,40,3,4.5,5,Petrol,999,Automatic,SUV
Up to 1M,545,91,4250,67.06,5500,28,3,4.5,5,Petrol,999,Automatic,Hatchback
Up to 1M,437,60,3500,40.36,6000,60,3,4.5,5,CNG,796,Manual,Hatchback
1M to 5M,40,395,0,134.1,0,0,0,4.5,5,Electric,0,Automatic,SUV
Up to 1M,136,95,3500,72.4,6000,60,3,4.5,5,CNG,1199,Manual,Sedan
Up to 1M,228,152,4400,98.63,5000,40,3,4.5,5,Petrol,999,Automatic,SUV
Up to 1M,301,89,3500,65.71,5500,27,3,4.5,5,Petrol,998,Automatic,Hatchback
1M to 5M,101,220,3600,138.08,5600,45,3,4.5,5,Petrol,1349,Automatic,SUV
Over 10M,33,850,4500,641,6000,75,8,4.5,5,Petrol,3996,Automatic,SUV
Up to 1M,85,160,1750,79.12,3600,35,4,4.5,5,Diesel,1498,Automatic,Sedan
Up to 1M,774,96,3500,71,6250,40,3,4.5,7,Petrol,999,Automatic,MUV
1M to 5M,207,250,2750,113.42,4000,50,4,4,7,Diesel,1493,Automatic,SUV
Up to 1M,261,172,4000,98.63,6000,37,3,4.5,5,Petrol,998,Manual,Sedan
1M to 5M,69,250,3500,147.51,6000,45,4,4.5,5,Petrol,1498,Automatic,Sedan
1M to 5M,52,250,3500,147.52,6000,45,4,4.5,5,Petrol,1498,Automatic,Sedan
Up to 1M,461,113,4200,81.8,6000,32,4,4.5,5,Petrol,1197,Automatic,Hatchback
1M to 5M,12,400,2600,187.74,3800,38,4,4.5,5,Diesel,1950,Automatic,SUV
5M to 10M,35,640,1740,400,0,68,4,4.5,7,Petrol,1969,Automatic,Hybrid
1M to 5M,172,250,3500,147.51,6000,50,4,4.5,5,Petrol,1498,Automatic,SUV
1M to 5M,58,136.8,4400,101.65,6000,45,4,4.5,6,Petrol,1462,Automatic,MUV
5M to 10M,18,400,3000,268,5250,41,4,4.5,5,Petrol,1998,Automatic,SUV
Up to 1M,264,85,3000,61.68,6000,65,4,4.5,7,Petrol,1196,Manual,Minivan
1M to 5M,28,250,2400,89.84,3200,63,4,4.5,4,Diesel,2596,Manual,SUV
Up to 1M,77,138,4400,103.25,6000,48,4,4.5,5,Petrol,1462,Automatic,SUV
Up to 1M,666,138,4400,103.25,6000,43,4,4.5,5,Petrol,1462,Automatic,Sedan
Up to 1M,532,85.3,4501,59.17,5500,60,4,4.5,5,CNG,1086,Manual,Hatchback
1M to 5M,68,250,3500,147.51,6000,50,4,4.5,5,Petrol,1498,Automatic,SUV
Over 10M,15,760,3000,394.26,4400,80,6,4.5,7,Diesel,2993,Automatic,SUV
5M to 10M,9,500,4500,335.25,6400,57,6,4.5,7,Petrol,2995,Automatic,SUV
5M to 10M,13,198,4000,115.32,4700,58,4,4.5,7,Petrol,2494,Automatic,MUV
1M to 5M,13,500,2800,201.15,3400,80,4,4.5,5,Diesel,2755,Automatic,Pickup Truck
1M to 5M,74,480,2400,215.01,4000,75,4,4.5,7,Diesel,1996,Automatic,SUV
Over 10M,52,720,6750,759.01,8500,90,12,4.5,2,Petrol,6498,Automatic,Coupe
1M to 5M,40,400,2500,187.74,6000,51,4,4.5,5,Diesel,1995,Automatic,SUV
5M to 10M,28,450,5200,335.26,6500,51,6,4.5,5,Petrol,2998,Automatic,SUV
1M to 5M,6,221,5200,175.67,5700,42,4,4.5,5,Petrol,2498,Automatic,Sedan
1M to 5M,5,320,4100,187.74,6000,60,4,4.5,5,Petrol,1984,Automatic,SUV
Over 10M,15,820,1500,563,5250,88,12,4.5,5,Petrol,6750,Automatic,Sedan
1M to 5M,20,320,3990,187.74,6000,50,4,4.5,5,Petrol,1984,Automatic,Sedan
1M to 5M,22,320,4200,187.74,6000,66,4,4.5,5,Petrol,1984,Automatic,Sedan
5M to 10M,19,370,4500,241.3,6500,73,4,4.5,5,Petrol,1984,Automatic,Sedan
1M to 5M,20,300,0,187.4,0,54,4,4.5,5,Petrol,1969,Automatic,SUV
5M to 10M,15,605,0,320.55,0,0,0,4.5,5,Electric,0,Automatic,SUV
5M to 10M,8,350,0,246.58,0,60,4,4.5,5,Petrol,1969,Automatic,Sedan
Up to 1M,41,110,4800,88.5,6000,40,4,4.5,5,Petrol,1199,Automatic,Hatchback
5M to 10M,35,365,4000,246.74,5500,82,4,4.5,5,Petrol,1997,Automatic,SUV
Up to 1M,81,200,1750,97.89,3600,40,4,4.5,5,Diesel,1498,Manual,SUV
5M to 10M,24,440,3000,246.74,4000,70,5,4.5,5,Petrol,1998,Automatic,SUV
1M to 5M,10,320,4100,187.74,6000,58,4,4.5,7,Petrol,1984,Automatic,SUV
1M to 5M,23,320,4200,187.74,6000,54,4,4.5,5,Petrol,1998,Automatic,Sedan
