ending_price,starting_price,reviews_count,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp,fuel_tank_capacity,no_cylinder,rating,seating_capacity,fuel_type,engine_displacement,transmission_type,body_type,car_name
583000,399000,51,89,3500,65.71,5500,27,3,4.5,5,Petrol,998,Automatic,Hatchback,Maruti Alto K10
1396000,799000,86,136.8,4400,101.65,6000,48,4,4.5,5,Petrol,1462,Automatic,SUV,Maruti Brezza
1603000,1353000,242,300,2800,130,3750,57,4,4.5,4,Diesel,2184,Automatic,SUV,Mahindra Thar
2458000,1318000,313,450,2800,182.38,3500,60,4,4.5,7,Diesel,2198,Automatic,SUV,Mahindra XUV700
2390000,1199000,107,400,2750,172.45,3500,57,4,4.5,7,Diesel,2198,Automatic,SUV,Mahindra Scorpio-N
4957000,3240000,99,500,2800,201.15,3400,80,4,4.5,7,Diesel,2755,Automatic,SUV,Toyota Fortuner
1818000,1044000,731,250,2750,113.45,4000,50,4,4.5,5,Diesel,1493,Automatic,SUV,Hyundai Creta
949000,593000,381,113,3400,84.48,6000,37,3,4.5,5,Petrol,1199,Automatic,SUV,Tata Punch
1026000,933000,107,210,2200,74.96,3600,60,3,4.5,7,Diesel,1498,Manual,SUV,Mahindra Bolero
885000,592000,205,113,4400,88.5,6000,37,4,4,5,Petrol,1197,Automatic,Hatchback,Maruti Swift
1408000,760000,568,260,2750,108.49,4000,44,4,4.5,5,Diesel,1497,Automatic,SUV,Tata Nexon
1272000,753000,36,172,4000,118.41,6000,45,3,4.5,5,Petrol,998,Automatic,SUV,Hyundai Venue
1865000,1049000,2171,250,2750,113.43,4000,50,4,4.5,5,Diesel,1493,Automatic,SUV,Kia Seltos
3454000,2770000,8,416,2750,183.72,4000,54,4,4.5,5,Diesel,1997,Automatic,SUV,Hyundai Tucson
2220000,1470000,2392,350,2500,167.67,3750,50,4,4.5,5,Diesel,1956,Automatic,SUV,Tata Harrier
971000,649000,137,113,4400,88.5,6000,37,4,4.5,5,Petrol,1197,Automatic,Hatchback,Maruti Baleno
2654000,1786000,91,360,2600,148,3400,55,4,4.5,8,Diesel,2393,Automatic,MUV,Toyota Innova Crysta
1279000,835000,110,136.8,4400,101.65,6000,45,4,4.5,7,Petrol,1462,Automatic,MUV,Maruti Ertiga
1379000,749000,523,250,2750,113.43,4000,45,4,4,5,Diesel,1493,Automatic,SUV,Kia Sonet
918000,624000,245,113,4400,88.5,6000,37,4,4.5,5,Petrol,1197,Automatic,Sedan,Maruti Dzire
1000000,950000,1067,145,4600,117.6,6600,40,4,4.5,5,Petrol,1497,Manual,Sedan,Honda City 4th Generation
41700000,23900000,17,700,3000,345.98,4000,89,8,4.5,7,Petrol,4367,Automatic,SUV,Land Rover Range Rover
782000,540000,435,95,3500,72,6000,90,3,4.5,5,CNG,1199,Manual,Hatchback,Tata Tiago
1154000,703000,432,171.62,4000,118.36,6000,60,3,3.5,5,Petrol,998,Automatic,Hatchback,Hyundai i20
1407000,841000,2245,300,2500,115,3750,37,4,4.5,5,Diesel,1497,Automatic,SUV,Mahindra XUV300
2011000,1415000,200,350,2500,167.68,3750,42,4,4,5,Diesel,1956,Manual,SUV,MG Hector
1025000,630000,1025,200,3000,88.77,4000,60,4,4.5,5,Diesel,1497,Manual,Hatchback,Tata Altroz
1549000,1199000,14,300,2800,130.07,3750,37,4,4.5,7,Diesel,2184,Manual,SUV,Mahindra Scorpio Classic
1545000,941000,234,250,2750,113.45,4000,60,4,4.5,5,Diesel,1493,Automatic,Sedan,Hyundai Verna
806000,571000,57,190,1750,108.62,5500,45,3,4.5,5,Petrol,1199,Manual,Hatchback,Citroen C3
1552000,1157000,162,200,1750,97.89,3600,30,4,4.5,5,Diesel,1498,Manual,Sedan,Honda City
700000,525000,89,89,3500,65.71,5500,40,3,3.5,5,Petrol,998,Automatic,Hatchback,Maruti Celerio
1079000,597000,278,152,4400,98.63,5000,32,3,4.5,5,Petrol,999,Automatic,SUV,Nissan Magnite
599000,464000,545,91,4250,67.06,5500,40,3,4.5,5,Petrol,999,Automatic,Hatchback,Renault KWID
21900000,8072000,13,650,2500,296.36,4000,28,4,4.5,7,Petrol,4997,Automatic,SUV,Land Rover Defender
503000,339000,437,60,3500,40.36,6000,60,3,4.5,5,CNG,796,Manual,Hatchback,Maruti Alto 800
